ops_subtype@MetaData,station_id@MetaData,ops_obstype@MetaData,vesselinfo@VesselInfo,newobstype@NewObsType,anemometer_height@AnemometerHeight
int,string,int,string,int,float
_,_,_,_,_,_
10200,VWDQ,_,INRG    ,10204,_
10200,VWLM,_,INRG    ,10204,_
10200,ULUN,_,RURG    ,10204,_
10200,UMPQ,_,RURG    ,10204,_
10200,UPAB,_,RURG    ,10204,_
10200,51WH0,_,USRG    ,10204,_
10200,DK7210,_,ZYRG    ,10204,_
10200,BSH02,_,ZYRG    ,10204,_
10200,BSH03,_,ZYRG    ,10204,_
10200,BSH05,_,ZYRG    ,10204,_
10200,TFBKF,_,ZYRG    ,10204,_
10200,TFBLK,_,ZYRG    ,10204,_
10200,TFDRN,_,ZYRG    ,10204,_
10200,TFFLT,_,ZYRG    ,10204,_
10200,TFGRS,_,ZYRG    ,10204,_
10200,TFGRV,_,ZYRG    ,10204,_
10200,TFGSK,_,ZYRG    ,10204,_
10200,TFHFN,_,ZYRG    ,10204,_
10200,TFKGR,_,ZYRG    ,10204,_
10200,TFSRT,_,ZYRG    ,10204,_
10200,TFSTD,_,ZYRG    ,10204,_
10200,42002,10210,_,_,10.0
10200,42040,10210,_,_,10.0
10200,45003,10210,_,_,3.2
10200,46035,10210,_,_,10.0
10200,46073,10210,_,_,10.0
10200,13001,10210,_,_,4.0
10200,13002,10210,_,_,4.0
10200,13008,10210,_,_,4.0
10200,13009,10210,_,_,4.0
10200,13010,10210,_,_,4.0
10200,15001,10210,_,_,4.0
10200,15002,10210,_,_,4.0
10200,15006,10210,_,_,4.0
10200,15007,10210,_,_,4.0
10200,28401,10210,_,_,3.5
10200,31001,10210,_,_,4.0
10200,31002,10210,_,_,4.0
10200,31003,10210,_,_,4.0
10200,31004,10210,_,_,4.0
10200,31005,10210,_,_,4.0
10200,31006,10210,_,_,4.0
10200,31007,10210,_,_,4.0
10200,31051,10210,_,_,3.7
10200,31052,10210,_,_,3.7
10200,31053,10210,_,_,3.7
10200,41024,10210,_,_,3.0
10200,41026,10210,_,_,4.0
10200,41027,10210,_,_,3.0
10200,41029,10210,_,_,3.0
10200,41030,10210,_,_,3.0
10200,41033,10210,_,_,3.0
10200,41037,10210,_,_,3.0
10200,41038,10210,_,_,3.0
10200,41051,10210,_,_,4.0
10200,41052,10210,_,_,4.0
10200,41053,10210,_,_,4.0
10200,41056,10210,_,_,4.0
10200,41139,10210,_,_,4.0
10200,42013,10210,_,_,2.8
10200,42014,10210,_,_,2.8
10200,42021,10210,_,_,2.8
10200,42022,10210,_,_,3.2
10200,42023,10210,_,_,3.2
10200,42024,10210,_,_,3.2
10200,42043,10210,_,_,3.4
10200,42044,10210,_,_,3.4
10200,42045,10210,_,_,3.4
10200,42046,10210,_,_,3.4
10200,42047,10210,_,_,3.4
10200,42067,10210,_,_,5.0
10200,42085,10210,_,_,4.0
10200,42360,10210,_,_,3.5
10200,42361,10210,_,_,20.0
10200,42362,10210,_,_,20.0
10200,42363,10210,_,_,20.0
10200,42364,10210,_,_,10.0
10200,42369,10210,_,_,10.0
10200,42370,10210,_,_,10.0
10200,42374,10210,_,_,10.0
10200,42375,10210,_,_,10.0
10200,42376,10210,_,_,10.0
10200,42392,10210,_,_,10.0
10200,42394,10210,_,_,10.0
10200,44021,10210,_,_,2.0
10200,44022,10210,_,_,3.5
10200,44024,10210,_,_,4.0
10200,44029,10210,_,_,4.0
10200,44030,10210,_,_,4.0
10200,44031,10210,_,_,4.0
10200,44032,10210,_,_,4.0
10200,44033,10210,_,_,4.0
10200,44034,10210,_,_,4.0
10200,44035,10210,_,_,4.0
10200,44036,10210,_,_,4.0
10200,44037,10210,_,_,4.0
10200,44038,10210,_,_,4.0
10200,44039,10210,_,_,3.5
10200,44040,10210,_,_,3.5
10200,44041,10210,_,_,3.0
10200,44042,10210,_,_,3.0
10200,44043,10210,_,_,3.0
10200,44053,10210,_,_,3.0
10200,44057,10210,_,_,3.0
10200,44058,10210,_,_,3.0
10200,44059,10210,_,_,3.0
10200,44060,10210,_,_,3.5
10200,44061,10210,_,_,3.0
10200,44062,10210,_,_,3.0
10200,44063,10210,_,_,3.0
10200,44064,10210,_,_,3.0
10200,44067,10210,_,_,2.74
10200,45013,10210,_,_,2.0
10200,45014,10210,_,_,2.0
10200,45020,10210,_,_,2.4
10200,45021,10210,_,_,3.2
10200,45022,10210,_,_,2.95
10200,45023,10210,_,_,3.15
10200,45024,10210,_,_,2.95
10200,45025,10210,_,_,3.2
10200,45026,10210,_,_,3.0
10200,45027,10210,_,_,3.0
10200,45028,10210,_,_,3.0
10200,45029,10210,_,_,3.0
10200,45161,10210,_,_,2.8
10200,45162,10210,_,_,2.8
10200,45163,10210,_,_,2.8
10200,45164,10210,_,_,2.8
10200,45165,10210,_,_,3.0
10200,45166,10210,_,_,2.5
10200,45170,10210,_,_,2.5
10200,46044,10210,_,_,5.0
10200,46091,10210,_,_,4.0
10200,46092,10210,_,_,4.0
10200,46093,10210,_,_,4.0
10200,46094,10210,_,_,3.0
10200,46096,10210,_,_,3.0
10200,46109,10210,_,_,2.13
10200,46110,10210,_,_,2.13
10200,46111,10210,_,_,2.74
10200,46112,10210,_,_,2.74
10200,46113,10210,_,_,1.52
10200,46120,10210,_,_,2.1
10200,46121,10210,_,_,2.1
10200,46122,10210,_,_,2.1
10200,46123,10210,_,_,2.1
10200,46124,10210,_,_,2.1
10200,46125,10210,_,_,2.1
10200,46233,10210,_,_,3.0
10200,48400,10210,_,_,3.5
10200,61001,10210,_,_,3.5
10200,61002,10210,_,_,3.5
10200,62001,10210,_,_,3.5
10200,62023,10210,_,_,3.5
10200,62027,10210,_,_,3.5
10200,62028,10210,_,_,3.5
10200,62029,10210,_,_,3.5
10200,62041,10210,_,_,3.5
10200,62052,10210,_,_,3.5
10200,62081,10210,_,_,3.5
10200,62090,10210,_,_,3.5
10200,62091,10210,_,_,3.5
10200,62092,10210,_,_,3.5
10200,62093,10210,_,_,3.5
10200,62094,10210,_,_,3.5
10200,62095,10210,_,_,3.5
10200,62105,10210,_,_,3.5
10200,62108,10210,_,_,3.5
10200,62110,10210,_,_,3.5
10200,62163,10210,_,_,3.5
10200,62202,10210,_,_,3.5
10200,62206,10210,_,_,3.5
10200,62301,10210,_,_,3.5
10200,62303,10210,_,_,3.5
10200,62402,10210,_,_,3.5
10200,62407,10210,_,_,3.5
10200,62410,10210,_,_,3.5
10200,62414,10210,_,_,3.5
10200,62442,10210,_,_,3.5
10200,64045,10210,_,_,3.5
10200,64046,10210,_,_,3.5
10200,64071,10210,_,_,3.5
10200,62103,10210,_,_,15.0
10200,62107,10210,_,_,15.0
10200,62170,10210,_,_,15.0
10200,62304,10210,_,_,15.0
10200,62305,10210,_,_,15.0
10200,2AAY7,_,GBSV S  ,_,23.0
10200,2AEC7,_,USCSSN  ,_,47.0
10200,2AGH7,_,AUPS S  ,_,52.4
10200,2AJU5,_,AUCS S  ,_,40.0
10200,2AKI2,_,GBGT S  ,_,53.0
10200,2AKI3,_,GBGT S  ,_,52.4
10200,2AKI4,_,GBGT S  ,_,52.0
10200,2AKU3,_,USCSSN  ,_,44.0
10200,2ALD3,_,AUCS S  ,_,44.0
10200,2ANO9,_,GBCG S  ,_,21.0
10200,2ANQ9,_,GBCS S  ,_,43.5
10200,2ARS4,_,GBSV S  ,_,-25.0
10200,2ATM7,_,GBYA S  ,_,5.0
10200,2AUO5,_,GBSV S  ,_,18.0
10200,2BPR6,_,GBRF S  ,_,-30.0
10200,2BXO2,_,GBRF S  ,_,-30.0
10200,2CNJ2,_,JPLTVS  ,_,43.4
10200,2DLB2,_,JPLTVS  ,_,40.0
10200,2DXY2,_,GBCS S  ,_,50.5
10200,2ECF3,_,GBRF S  ,_,-30.0
10200,2EDZ5,_,GBCS    ,_,52.0
10200,2EMA9,_,JPBCVS  ,_,50.0
10200,2ESF4,_,JPLT S  ,_,42.0
10200,2EZE5,_,NLBCSLE ,_,25.0
10200,2FBD7,_,JPLTVS  ,_,45.0
10200,2FCE5,_,JPBCSG  ,_,33.6
10200,2FGR4,_,GBRF S  ,_,-30.0
10200,2FGX5,_,GBRV S  ,_,30.6
10200,2FMI8,_,GBRF S  ,_,-30.0
10200,2FRK8,_,USCS    ,_,-37.0
10200,2GDK7,_,GBRV S  ,_,-18.0
