channel,sensorMetaData/sensorCentralWavenumber
int,float
454,194175.0
455,194250.0
456,198675.0
457,198750.0
458,198950.0
459,199000.0
460,199050.0
461,199400.0
462,199450.0
463,199500.0
464,199550.0
465,199600.0
466,200625.0
467,200850.0
468,201275.0
469,201475.0
470,201550.0
471,201600.0
472,201775.0
473,201900.0
474,202025.0
475,202150.0
476,202200.0
477,202400.0
478,202675.0
479,203425.0
480,206900.0
481,207325.0
482,208200.0
483,208625.0
484,209100.0
485,209425.0
486,209450.0
487,209500.0
488,209900.0
489,210300.0
490,210325.0
491,210375.0
492,210700.0
493,210750.0
494,210775.0
495,211100.0
496,211200.0
497,211500.0
498,211575.0
499,211900.0
500,211975.0
501,212375.0
502,212775.0
503,213175.0
504,213550.0
505,213675.0
506,213925.0
507,214175.0
508,214275.0
509,214325.0
510,214400.0
511,214550.0
512,214675.0
513,215050.0
514,215125.0
515,215450.0
516,215800.0
517,215875.0
518,216150.0
519,216250.0
520,216525.0
521,216600.0
522,216925.0
523,217275.0
524,217625.0
525,217850.0
526,217975.0
527,218200.0
528,218325.0
529,218425.0
530,218500.0
531,218675.0
532,218825.0
533,219025.0
534,219150.0
535,219600.0
536,219700.0
537,219800.0
538,222400.0
539,222950.0
540,223025.0
541,223625.0
542,224000.0
543,224250.0
544,226700.0
545,238525.0
546,238625.0
547,238725.0
548,238850.0
549,238900.0
550,239025.0
551,239100.0
552,239150.0
553,239200.0
554,239250.0
555,239300.0
556,239350.0
557,239400.0
558,239450.0
559,239475.0
560,239575.0
561,239675.0
562,239800.0
563,239875.0
564,240000.0
565,240075.0
566,240150.0
567,240200.0
568,240275.0
569,240425.0
570,240550.0
571,240625.0
572,240700.0
573,241200.0
574,241275.0
575,241375.0
576,241500.0
577,241575.0
578,241700.0
579,241950.0
580,244700.0
581,245025.0
582,245250.0
583,245350.0
584,245650.0
585,246150.0
586,246200.0
587,246575.0
588,249200.0
589,249950.0
590,250050.0
591,250075.0
592,250125.0
593,250175.0
594,250250.0
595,250375.0
596,250575.0
597,251350.0
598,253200.0
599,254075.0
600,256100.0
601,256125.0
602,260250.0
603,260375.0
604,260800.0
605,261100.0
606,261600.0
607,261675.0
608,262275.0
609,263225.0
610,263775.0
611,263975.0
612,264350.0
613,264650.0
614,264850.0
615,265850.0
616,266425.0
